fraud_label
address_count_30
fulladdress_count_30
address_count_14
fulladdress_count_14
address_count_7
address_day_since
fulladdress_count_7
fulladdress_day_since
address_count_0_by_14
fulladdress_count_0_by_14
fulladdress_count_3
fulladdress_count_0_by_30
address_count_3
address_count_0_by_30
address_count_0_by_7
fulladdress_count_0_by_7
address_count_1
fulladdress_count_1
ssn_dob_count_30
name_dob_count_30
ssn_count_30
ssn_firstname_count_30
ssn_lastname_count_30
ssn_name_dob_count_30
ssn_name_count_30
address_count_0_by_3
fulladdress_count_0_by_3
fulladdress_homephone_count_30
name_dob_count_14
ssn_dob_count_14
ssn_count_14
name_count_30
ssn_firstname_count_14
ssn_lastname_count_14
ssn_name_count_14
ssn_name_dob_count_14
fulladdress_homephone_count_14
ssn_dob_count_0_by_30
name_dob_count_0_by_30
fulladdress_count_1_by_30
ssn_count_0_by_30
address_count_1_by_14
name_dob_day_since
ssn_dob_day_since
ssn_firstname_count_0_by_30
ssn_lastname_count_0_by_30
fulladdress_count_1_by_14
fulladdress_homephone_day_since
fulladdress_homephone_count_0_by_30
name_dob_count_7
ssn_day_since
ssn_firstname_day_since
ssn_name_dob_day_since
ssn_count_7
ssn_lastname_day_since
ssn_firstname_count_7
ssn_name_dob_count_7
ssn_dob_count_7
ssn_lastname_count_7
ssn_name_day_since
ssn_name_count_7
name_count_14
ssn_count_0_by_14
ssn_dob_count_0_by_14
name_dob_count_0_by_14
fulladdress_homephone_count_7
ssn_lastname_count_0_by_14
ssn_firstname_count_0_by_14
name_count_7
fulladdress_homephone_count_0_by_14
name_day_since
homephone_count_7
homephone_count_3
address_count_1_by_7
fulladdress_count_1_by_7
fulladdress_count_0
address_count_0
name_dob_count_3
ssn_count_3
address_count_1_by_30
ssn_dob_count_3
ssn_firstname_count_3
homephone_count_14
ssn_name_dob_count_3
name_count_0_by_30
ssn_name_count_3
ssn_lastname_count_3
fulladdress_homephone_count_3
name_count_3
homephone_count_1
name_dob_count_0_by_7
ssn_count_0_by_7
ssn_firstname_count_0_by_7
ssn_dob_count_0_by_7
ssn_lastname_count_0_by_7
ssn_name_count_0_by_7
fulladdress_homephone_count_0_by_7
ssn_dob_count_1_by_30
ssn_count_1_by_30
dob_count_7
name_dob_count_1_by_30
name_count_0_by_14
ssn_firstname_count_1_by_30
ssn_lastname_count_1_by_30
dob_count_30
dob_count_14
fulladdress_homephone_count_1_by_30
homephone_count_30
ssn_count_1
name_dob_count_1
ssn_firstname_count_1
name_count_1
dob_count_3
ssn_lastname_count_1
ssn_name_count_1
fulladdress_homephone_count_1
ssn_dob_count_1
ssn_name_dob_count_1
